Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/07  16:00:00,437624094.73980197,437624094.7398018,20330813.242794537 
 04/07  17:00:00,293463861.54700449,293463861.54700449,11033742.302518815 
 04/07  18:00:00,157616127.1308314,157616127.1308314,10950334.529099644 
 04/07  19:00:00,151244183.0649883,151244183.06498827,6791184.0 
 04/07  20:00:00,127836308.33863484,127836308.33863482,6791184.0 
 04/07  21:00:00,123033868.88553876,123033868.88553874,6791184.0 
 04/07  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/07  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/07  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
 04/08  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/08  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/08  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/08  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/08  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/08  06:00:00,94656659.48766871,94656659.48766871,6791184.0 
 04/08  07:00:00,103772697.72976563,103772697.72976563,6791184.0 
 04/08  08:00:00,154552852.81643749,154552852.81643749,6791184.0 
 04/08  09:00:00,185849700.51328574,185849700.51328574,6791184.0 
 04/08  10:00:00,204826865.4037083,204826865.40370829,6791184.0 
 04/08  11:00:00,227820441.90762896,227820441.90762896,6791184.0 
 04/08  12:00:00,177733218.62111608,177733218.62111608,6791184.0 
 04/08  13:00:00,165713982.22276265,165713982.22276265,6791184.0 
 04/08  14:00:00,154771679.57218839,154771679.57218839,6791184.0 
 04/08  15:00:00,151260211.25379185,151260211.25379185,6791184.0 
 04/08  16:00:00,150778289.39558108,150778289.39558108,6791184.0 
 04/08  17:00:00,113918034.4004155,113918034.40041548,6791184.0 
 04/08  18:00:00,53185838.646548409,53185838.646548409,6791184.0 
 04/08  19:00:00,50503791.42426019,50503791.42426019,6791184.0 
 04/08  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/08  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/08  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/08  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/08  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/09  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/09  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/09  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/09  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/09  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/09  06:00:00,61443950.23180665,61443950.231806639,6791184.0 
 04/09  07:00:00,51526291.315233249,51526291.315233249,6791184.0 
 04/09  08:00:00,51225217.82805699,51225217.82805699,6791184.0 
 04/09  09:00:00,55359110.91429255,55359110.91429255,6791184.0 
 04/09  10:00:00,66884658.666006419,66884658.666006419,6791184.0 
 04/09  11:00:00,59012880.50329262,59012880.50329261,6791184.0 
 04/09  12:00:00,51225215.94133289,51225215.94133289,6791184.0 
 04/09  13:00:00,51225215.94133289,51225215.94133289,6791184.0 
 04/09  14:00:00,51225215.94133289,51225215.94133289,6791184.0 
 04/09  15:00:00,69025852.65732737,69025852.65732739,6791184.0 
 04/09  16:00:00,87089276.38038232,87089276.38038232,6791184.0 
 04/09  17:00:00,74762527.62622158,74762527.62622158,6791184.0 
 04/09  18:00:00,44289381.86481869,44289381.86481869,6791184.0 
 04/09  19:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/09  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/09  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/09  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/09  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/09  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/10  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/10  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/10  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/10  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/10  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/10  06:00:00,91568789.79341975,91568789.79341975,6791184.0 
 04/10  07:00:00,179482409.59695,179482409.59695,6791184.0 
 04/10  08:00:00,389117500.75161138,389117500.75161126,6791184.0 
 04/10  09:00:00,363686285.84938,363686285.84937998,6791184.0 
 04/10  10:00:00,378897766.97389027,378897766.9738901,6791184.0 
 04/10  11:00:00,402832127.89237228,402832127.89237216,11358216.451252224 
 04/10  12:00:00,413217129.85451069,413217129.85451069,23902059.43970404 
 04/10  13:00:00,428285633.4958056,428285633.4958056,22676561.963884925 
 04/10  14:00:00,413369551.11687007,413369551.11687007,15524551.50614854 
 04/10  15:00:00,414473474.45303747,414473474.4530374,15478272.459299449 
 04/10  16:00:00,430292475.8166063,430292475.81660637,20320895.03462521 
 04/10  17:00:00,295448613.7441242,295448613.7441242,11037173.771830395 
 04/10  18:00:00,172377807.6533597,172377807.65335975,10960642.471954532 
 04/10  19:00:00,156483806.1417072,156483806.1417072,6791184.0 
 04/10  20:00:00,127748150.62299739,127748150.62299738,6791184.0 
 04/10  21:00:00,123033868.88553876,123033868.88553874,6791184.0 
 04/10  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/10  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/10  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
 04/11  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/11  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/11  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/11  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/11  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/11  06:00:00,91281914.23452813,91281914.23452813,6791184.0 
 04/11  07:00:00,179751804.9582202,179751804.95822019,6791184.0 
 04/11  08:00:00,390460283.19579967,390460283.19579967,6791184.0 
 04/11  09:00:00,399834201.21620365,399834201.21620365,6791184.0 
 04/11  10:00:00,422400999.0175384,422400999.0175384,6791184.0 
 04/11  11:00:00,436986018.6428384,436986018.6428384,15735687.732913852 
 04/11  12:00:00,434684884.6428657,434684884.64286568,21747646.41458092 
 04/11  13:00:00,451666957.52051326,451666957.52051326,24980648.827897435 
 04/11  14:00:00,441906260.72080597,441906260.72080597,15495521.956430503 
 04/11  15:00:00,463722376.2414646,463722376.24146458,15464203.458036837 
 04/11  16:00:00,481328157.65518978,481328157.65518978,20313394.411567004 
 04/11  17:00:00,324580651.6440253,324580651.6440253,11039067.921508465 
 04/11  18:00:00,186454410.56650419,186454410.56650419,10962699.697241575 
 04/11  19:00:00,169691257.27088157,169691257.2708816,6791184.0 
 04/11  20:00:00,133111215.05805166,133111215.05805165,6791184.0 
 04/11  21:00:00,123033868.88553876,123033868.88553874,6791184.0 
