Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/07  12:00:00,19.941666666666668,3754256.510329044,52542840.04545544,3294738.596557054,44306860.72059514,2953471.579560824,41022743.252044159 
 01/07  13:00:00,19.375,3329546.6110718196,42887859.66090058,2894083.6630057517,36292508.62526316,2878466.913488522,36441853.719296 
 01/07  14:00:00,17.833333333333333,2993107.8579173136,31757405.409184338,2845704.0063072,27852967.55200552,2666212.502939343,27293146.49792728 
 01/07  15:00:00,15.833333333333334,2954384.0659765547,16991019.686432978,2732588.2761043726,15077887.930093037,2741056.0306450116,15366560.74199204 
 01/07  16:00:00,14.416666666666666,2954384.065976553,3994891.960451409,2903277.992281978,3813403.052099643,2636227.0368710064,3539631.1131139604 
 01/07  17:00:00,13.416666666666666,2954384.065976553,0.0,2502100.288414887,0.0,2430418.155067475,0.0 
 01/07  18:00:00,12.416666666666666,2954384.065976551,0.0,2420372.777258296,0.0,2424852.40874107,0.0 
 01/07  19:00:00,11.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  20:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  21:00:00,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  22:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  23:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  24:00:00,6.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  01:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  02:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  03:00:00,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  04:00:00,4.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  05:00:00,3.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  06:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  07:00:00,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  08:00:00,3.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  09:00:00,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  10:00:00,11.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  11:00:00,14.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  12:00:00,16.583333333333333,1230993.3608235622,6763715.426668169,2048296.8679886913,12544702.782969732,0.0,0.0 
 01/08  13:00:00,17.0,2215788.0494824119,15662743.020365192,1644596.6099954886,12553262.760965214,1227253.9777574095,9881120.968901989 
 01/08  14:00:00,17.0,1969589.3773177018,14729070.147468836,2125421.951791061,16993825.753321157,1327682.3339638843,10415050.509752855 
 01/08  15:00:00,16.416666666666669,1723390.7051529939,10610444.313374909,1619104.7518491073,10964860.061271087,808284.1362470256,6157135.540015595 
 01/08  16:00:00,14.833333333333334,984794.6886588507,3995015.046592939,0.0,0.0,0.0,0.0 
 01/08  17:00:00,12.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  18:00:00,11.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  19:00:00,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  20:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  21:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  22:00:00,8.825000000000001,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  23:00:00,8.525,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  24:00:00,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  01:00:00,6.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  02:00:00,5.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  03:00:00,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  04:00:00,4.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  05:00:00,5.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  06:00:00,3.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  07:00:00,2.5833333333333337,18889153.106076324,0.0,31174868.874097136,0.0,47497635.14311739,0.0 
 01/09  08:00:00,5.333333333333333,33572021.165589798,0.0,25404339.33391708,0.0,48909192.40889481,0.0 
 01/09  09:00:00,9.333333333333334,8865043.097092923,0.0,9373758.496753337,0.0,15192548.27360215,0.0 
 01/09  10:00:00,12.75,5977134.715954488,0.0,3034933.445691036,0.0,2804987.4639172835,0.0 
 01/09  11:00:00,15.75,5632725.212029379,20870808.47239179,3059852.203723438,12262638.369514157,2793041.978111174,11435055.583296953 
 01/09  12:00:00,18.166666666666669,6170380.46536359,52610831.93331771,3569587.651867152,32920209.63589468,3131484.143218561,30247927.786319507 
 01/09  13:00:00,18.416666666666669,5482213.792352152,51735874.33069441,3450514.3861315969,34042388.89475258,3353952.6012648839,33753005.37471305 
 01/09  14:00:00,18.0,7353243.918113417,56052447.53836934,3828163.663464553,33123797.129390729,3486967.519008242,31491668.68990627 
 01/09  15:00:00,17.416666666666669,6616542.4642274859,45143185.205682639,3751299.5719475217,27959225.56376534,3364488.6273976785,26210675.97917255 
 01/09  16:00:00,16.416666666666669,6248673.214099319,30978457.839504109,3524463.337144431,19269090.433720817,2913527.37988149,17549756.582558425 
 01/09  17:00:00,14.25,6981499.344856953,7320439.060222455,3254356.8139763756,4121520.928641782,2603623.7598616026,3655976.614967852 
 01/09  18:00:00,11.833333333333334,9993251.607241298,0.0,2420372.777258301,0.0,2424852.408741069,0.0 
 01/09  19:00:00,10.416666666666666,3192930.7951318866,0.0,4287818.432746152,0.0,5513394.322327142,0.0 
 01/09  20:00:00,10.583333333333334,2954384.065976552,0.0,3776060.850141043,0.0,5780142.385302412,0.0 
 01/09  21:00:00,9.833333333333334,5256340.969377005,0.0,6757425.554506095,0.0,9276969.056810508,0.0 
 01/09  22:00:00,7.833333333333333,12433187.220832292,0.0,13409460.22827787,0.0,16749891.13158704,0.0 
 01/09  23:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  24:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  02:00:00,7.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  03:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  04:00:00,5.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  05:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  06:00:00,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  07:00:00,4.416666666666667,18889153.106076577,0.0,24853050.429824886,0.0,35317765.42280249,0.0 
 01/10  08:00:00,6.333333333333333,28331368.527436075,0.0,19240166.269751666,0.0,37958126.53335169,0.0 
 01/10  09:00:00,10.333333333333334,9217276.363134349,0.0,6195429.258069355,0.0,9479749.270176517,0.0 
 01/10  10:00:00,14.333333333333334,6147400.50664141,8488612.834548727,3255869.6526625116,5009711.490918722,2622824.073275753,4206358.802516069 
 01/10  11:00:00,16.466666666666666,6019889.795829806,30735478.243368515,3456612.06971304,18966648.10260561,3059954.050253138,17419100.944580616 
 01/10  12:00:00,16.916666666666669,6864971.300854855,39466161.0285433,3940821.2254401647,24662168.278579374,3468136.1570919954,22909657.6678221 
 01/10  13:00:00,17.583333333333333,5860602.650296239,43938418.247537408,3510896.755764025,28198262.38823113,3577590.6845392745,29327545.34475349 
 01/10  14:00:00,17.416666666666669,7838718.454248279,52437385.62382926,4242970.745777808,32773150.10555364,3710727.9885491819,31864103.756232099 
 01/10  15:00:00,16.416666666666669,7461176.546289722,41064718.24864397,4712492.544471193,27473833.098645264,3930091.4663430836,25989987.84477541 
 01/10  16:00:00,14.833333333333334,7924860.480924495,17192557.378662975,5430392.60972224,12094052.471897729,4032302.5980530397,10182086.459284777 
 01/10  17:00:00,13.416666666666666,8474703.772411734,0.0,4541815.792508401,0.0,3450824.760442814,0.0 
 01/10  18:00:00,11.833333333333334,9720459.677695923,0.0,2460707.480148139,0.0,2428269.844839664,0.0 
 01/10  19:00:00,11.0,3301506.733223499,0.0,2420372.777258285,0.0,2510766.532371275,0.0 
 01/10  20:00:00,9.833333333333334,4242122.284178669,0.0,6031516.594748924,0.0,8058626.935293981,0.0 
 01/10  21:00:00,7.833333333333333,11185396.908312526,0.0,12750565.417198398,0.0,15145472.040505102,0.0 
 01/10  22:00:00,7.0,14698187.97461565,0.0,15573810.019392092,0.0,18215233.78938076,0.0 
 01/10  23:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  24:00:00,7.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/11  01:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/11  02:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/11  03:00:00,7.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/11  04:00:00,6.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/11  05:00:00,5.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/11  06:00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/11  07:00:00,5.583333333333333,18803088.533415904,0.0,20568983.793267885,0.0,25649781.603142408,0.0 
 01/11  08:00:00,6.583333333333333,25319471.50597297,0.0,17722076.19270391,0.0,31911258.70847559,0.0 
