Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 11/04  13:00:00,106916557.40934947,106916557.40934947,6791184.0 
 11/04  14:00:00,102122695.90882448,102122695.90882448,6791184.0 
 11/04  15:00:00,96921286.54002735,96921286.54002734,6791184.0 
 11/04  16:00:00,93815939.43453382,93815939.43453382,6791184.0 
 11/04  17:00:00,70363644.85162415,70363644.85162415,6791184.0 
 11/04  18:00:00,66276703.53612528,66276703.53612528,6791184.0 
 11/04  19:00:00,49290893.81922844,49290893.81922844,6791184.0 
 11/04  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/04  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/04  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/04  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/04  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/05  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/05  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/05  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/05  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/05  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/05  06:00:00,66032185.73006148,66032185.73006148,6791184.0 
 11/05  07:00:00,50111602.17784184,50111602.17784184,6791184.0 
 11/05  08:00:00,46384934.80314296,46384934.80314296,6791184.0 
 11/05  09:00:00,46294324.259015288,46294324.259015288,6791184.0 
 11/05  10:00:00,46288812.51597283,46288812.51597283,6791184.0 
 11/05  11:00:00,58494580.86877395,58494580.86877395,6791184.0 
 11/05  12:00:00,69266727.35191137,69266727.35191135,6791184.0 
 11/05  13:00:00,67035146.62229778,67035146.62229778,6791184.0 
 11/05  14:00:00,51642665.19002165,51642665.19002165,6791184.0 
 11/05  15:00:00,46288812.51597283,46288812.51597283,6791184.0 
 11/05  16:00:00,46299970.72593436,46299970.72593435,6791184.0 
 11/05  17:00:00,50168756.03400074,50168756.03400073,6791184.0 
 11/05  18:00:00,57105773.81922845,57105773.81922844,6791184.0 
 11/05  19:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/05  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/05  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/05  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/05  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 11/05  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/06  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/06  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/06  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/06  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/06  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/06  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/06  07:00:00,76378911.5835228,76378911.58352283,15693470.759880953 
 11/06  08:00:00,140551706.94772757,140551706.94772757,8116171.173028149 
 11/06  09:00:00,300588701.676294,300588701.676294,6791184.0 
 11/06  10:00:00,289000377.25375977,289000377.2537597,6791184.0 
 11/06  11:00:00,296275940.2932777,296275940.2932776,6791184.0 
 11/06  12:00:00,311682880.9577434,311682880.95774337,6791184.0 
 11/06  13:00:00,312719036.1072111,312719036.10721108,25636542.003148997 
 11/06  14:00:00,325421143.2220799,325421143.2220798,25460019.65163943 
 11/06  15:00:00,312102673.9000854,312102673.90008535,15483919.257360245 
 11/06  16:00:00,307337094.8884414,307337094.8884414,14883785.221606996 
 11/06  17:00:00,321208059.26764139,321208059.2676413,16394660.301363539 
 11/06  18:00:00,235881657.84786523,235881657.84786523,15281109.845578503 
 11/06  19:00:00,129013929.39160745,129013929.39160745,6791184.0 
 11/06  20:00:00,111540461.95831317,111540461.95831318,6791184.0 
 11/06  21:00:00,100873580.38079453,100873580.38079456,10923633.82574524 
 11/06  22:00:00,96230682.93391708,96230682.93391708,6791184.0 
 11/06  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 11/06  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 11/07  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 11/07  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/07  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/07  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/07  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/07  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/07  07:00:00,75745297.33923252,75745297.33923254,6791184.0 
 11/07  08:00:00,136606995.19942934,136606995.19942934,6791184.0 
 11/07  09:00:00,307215967.1332991,307215967.1332991,6791184.0 
 11/07  10:00:00,292469881.53114476,292469881.53114476,6791184.0 
 11/07  11:00:00,293043915.46707716,293043915.4670771,6791184.0 
 11/07  12:00:00,309837306.74272498,309837306.7427249,11340961.892979244 
 11/07  13:00:00,316085586.55764278,316085586.5576427,25671309.686446586 
 11/07  14:00:00,335136140.1321295,335136140.13212946,20794997.526662325 
 11/07  15:00:00,320964217.1591988,320964217.1591987,15505988.98291216 
 11/07  16:00:00,319227051.1052125,319227051.10521247,15450706.067122046 
 11/07  17:00:00,337599337.6280381,337599337.62803807,20283995.890842666 
 11/07  18:00:00,253224283.03649426,253224283.03649426,11026208.364698986 
 11/07  19:00:00,144502063.50408925,144502063.50408925,10947746.401888583 
 11/07  20:00:00,115646055.77336301,115646055.773363,6791184.0 
